Chloride,Nitrate,Sulfate,Sodium,Potassium,Magnesium,Calcium,Site,,
9.020691627,0.784422655,13.02087973,8.54951681,2.642923121,4.365558125,12.0271539,BS01,,
7.697599773,0.404970357,10.01086982,8.033783328,2.197762863,5.469280157,12.75197696,BS02,,
9.653197947,0.878015981,14.99069677,9.147631016,2.747225786,4.571911812,12.33644842,BS03,,
10.0590399,0.888296913,17.21306553,9.600169631,2.85213893,4.975982623,12.44106785,BS04,,
8.655500916,0.907089463,6.396255113,7.041579591,2.213954855,2.757155042,7.107227103,BS05,,
7.424815766,0.833780848,6.773976774,7.12795171,2.308677248,3.088399949,8.053350171,BS06,,
7.195406257,0.486348576,5.782093259,6.350901373,1.76673769,3.253041749,6.943901504,BS07,,
7.046329913,1.106907749,4.152143216,5.597338163,1.640933082,2.154762359,4.686867103,BS08,,
7.94765703,0.93101353,12.28448953,7.562561819,2.297975474,2.705439303,8.437370438,BS09,,
7.252508519,0.988446871,7.033714126,6.425099717,2.179536983,3.213836895,8.216834119,BS10,,
8.160330121,0.960461463,16.53243061,9.428625058,2.168550203,5.139258417,13.22045642,BS11,,
4.590751137,0.076079656,5.373527012,6.565874707,1.897569016,8.664548259,11.88407472,BS12,,
7.003348255,1.118992255,6.902471306,7.445818759,2.148448866,2.330283919,5.329232292,BS13,,
5.867837927,0.876414489,5.056563003,5.587863503,2.142147028,2.459936671,6.299280282,BS14,,
6.994765067,0.945890866,6.715353703,7.401046272,2.211963431,2.642647032,6.304836538,BS15,,
4.398641064,0.20589115,4.038933632,6.333175533,1.737886606,9.548116807,13.81271857,BS16,,
11.7085294,0.955372603,22.77194371,10.84266263,3.051706626,5.747348205,15.16328639,BS17,,
15.37631814,1.633645742,19.73772913,14.69320138,4.466577799,5.179996231,16.98978344,BS18,,
7.24567632,0.587876648,10.51870019,7.434622072,2.566265399,3.864893272,11.36715357,BS01,,
7.380453638,0.362636979,9.142780483,8.031161803,2.285930529,5.439027431,12.52836743,BS02,,
7.674999977,0.659503228,11.66146643,7.857058594,2.686018431,3.991304219,12.03264687,BS03,,
7.884674363,0.665631469,12.97564513,8.209127551,2.777038924,4.285454922,12.99339641,BS04,,
6.958758385,0.668582505,5.679555365,6.361419201,2.195678308,2.605922152,7.375256908,BS05,,
6.990420255,0.736023166,6.296598861,6.788378273,2.3340871,2.966393944,7.962260335,BS06,,
6.431760819,0.408388875,5.035720279,6.272383588,1.774186391,3.370780899,7.25445344,BS07,,
6.667909426,1.020427634,3.921758901,5.49226352,1.621227029,2.138013378,4.645489659,BS08,,
6.331985031,0.820282373,5.638751814,6.429282985,2.063432843,2.372728363,6.880009789,BS09,,
6.625905864,0.821753386,6.252271863,6.259386878,2.211618399,3.089939313,8.328903225,BS10,,
7.122228125,0.810509549,14.55388361,9.20004776,2.082580164,5.017434222,13.03904656,BS11,,
4.30815175,0.087875244,4.966305472,6.738206092,1.965812026,8.674485006,11.99293274,BS12,,
6.241196897,0.959820484,6.443457558,7.426908404,2.121815206,2.241346588,5.383970307,BS13,,
5.67202406,0.795837608,4.836117007,5.421996066,2.101760357,2.439671324,6.690884191,BS14,,
6.123643504,0.804985419,6.562284137,7.304070094,2.172350106,2.528980934,6.341719285,BS15,,
4.19666293,0.172657356,3.769731767,6.398328448,1.721658339,9.872124902,14.24498655,BS16,,
9.729810025,0.747250504,17.78335861,9.702970359,3.006595623,5.15336889,15.6260392,BS17,,
12.91515013,1.385810677,16.32314074,13.16471886,3.948877211,4.7231957,17.10062893,BS18,,
7.432056965,0.521644546,11.44507106,7.606780318,2.931947499,2.718159496,10.10663563,BS01,,
6.017445929,0.349056071,9.781370659,6.797153716,2.588840415,4.774513293,11.91682289,BS02,,
8.362484486,0.580814086,13.07058362,8.613566443,3.045655582,2.715152964,10.92464004,BS03,,
8.6521302,0.582617144,13.79681976,8.976474208,3.107334027,2.74970749,11.24996698,BS04,,
6.000848083,0.565638372,5.684310079,5.600001377,2.348049792,2.327486038,7.285140197,BS05,,
5.9916149,0.617882149,6.378853232,5.970529741,2.48760091,2.64293459,8.052350306,BS06,,
6.180564032,0.414600342,5.105100124,6.024315533,1.851976375,3.289422403,7.16602528,BS07,,
6.126300495,1.016870839,3.977341626,5.180254557,1.694136888,1.994700759,4.579475617,BS08,,
5.869106404,0.757670904,5.563836491,6.018401419,2.063401827,2.302125551,6.968376877,BS09,,
5.961145056,0.78555444,6.448027568,5.799950017,2.284676099,2.939919034,8.453113974,BS10,,
7.367115903,0.80055366,15.87727463,9.031981448,2.54367083,4.94780919,15.83179746,BS11,,
3.641542329,0.083270066,4.457389413,5.518110633,1.917230389,7.546459897,10.808777,BS12,,
5.793650262,0.858833499,6.091272576,6.565815099,2.216137128,2.171917764,5.767944505,BS13,,
5.085212266,0.745002148,5.459538752,5.134049834,2.248078271,2.112115622,6.609377837,BS14,,
5.416393985,0.682083786,6.217193878,6.017855516,2.270262137,2.270756756,6.322551145,BS15,,
3.934435602,0.14472833,3.735793571,6.242318132,1.856301973,10.14680073,14.8206387,BS16,,
11.52902855,0.615240765,16.84527665,11.57255285,3.306730459,2.876752533,12.51451777,BS17,,
14.0732779,0.63542647,16.38422379,14.04956675,3.548101832,1.700015911,10.87945175,BS18,,
6.523306094,0.545216506,10.27667758,6.738095831,2.725573512,3.434257649,11.23419765,BS01,,
5.804589347,0.29870958,9.552083629,6.319072772,2.723788865,4.550821032,12.59602941,BS02,,
6.910933427,0.639811149,,7.075012653,2.726520669,3.600949807,11.76523704,BS03,,
6.994581305,0.644902471,12.55088041,7.345707402,2.862888212,3.908478355,12.87538266,BS04,,
7.773390871,0.675983322,6.482187811,7.117729282,3.188337605,2.765051208,8.280748373,BS05,,
6.935148485,0.718909117,6.300471344,6.669335605,2.375272741,2.97693785,8.682563366,BS06,,
6.219346521,0.359571957,4.658444983,6.019193925,1.843174693,3.342634153,7.443971194,BS07,,
6.910933427,0.639811149,11.00613611,7.075012653,2.726520669,3.600949807,11.76523704,BS08,,
5.366951185,0.820189241,6.73316165,5.801412997,3.040673726,2.203611202,7.704045102,BS09,,
6.03585172,0.826695127,7.268335115,5.898950108,3.12748164,3.175712326,9.444462098,BS10,,
8.11353723,0.919254078,17.75302236,10.7677949,3.010392264,5.535318338,17.89500351,BS11,,
2.819363757,0.122828534,5.248832952,3.575323487,2.147713728,5.193894729,8.255508798,BS12,,
5.744382187,0.594712173,6.759556065,6.022024752,2.971933947,2.34989562,6.645369772,BS13,,
4.530505177,0.668910011,5.32307564,4.538414655,2.20521151,2.094198911,7.172976747,BS14,,
6.102202819,0.67550115,6.974875819,6.698423418,2.749912408,2.818474193,8.025290885,BS15,,
3.166930935,0.164337383,5.589489862,4.653137002,2.241161299,6.930394003,10.54060086,BS16,,
8.602687459,0.703588204,18.03847757,8.919879375,3.316871801,4.958121985,14.90303128,BS17,,
9.610126528,1.043068411,13.0781919,9.777911839,3.700051639,3.925161231,14.67470451,BS18,,
6.442456338,0.53591508,9.734125595,6.609934491,2.825697704,3.713704862,11.38780279,BS01,,
5.534704324,0.288734573,7.411117386,5.548213675,3.149819987,4.068335315,11.28641349,BS02,,
7.10498297,0.633896871,10.68413793,7.283537823,2.737791629,3.804247909,11.81956892,BS03,,
7.404878303,0.651463238,12.86196102,7.713069996,2.88888672,4.294490435,13.33585912,BS04,,
