Date,spatial_stability,Solute
6/22/2020,0.671826625,Chloride
6/27/2020,0.661506708,Chloride
7/2/2020,0.583075335,Chloride
7/9/2020,0.527620101,Chloride
7/12/2020,0.583075335,Chloride
7/17/2020,0.413828689,Chloride
7/22/2020,0.250773994,Chloride
7/29/2020,0.735810114,Chloride
8/4/2020,0.234262126,Chloride
8/15/2020,0.391124871,Chloride
8/29/2020,0.531475748,Chloride
9/2/2020,0.527347781,Chloride
9/8/2020,0.587203302,Chloride
9/19/2020,0.533539732,Chloride
9/30/2020,0.768833849,Chloride
6/22/2020,0.847265222,Nitrate
6/27/2020,0.938080495,Nitrate
7/2/2020,0.894736842,Nitrate
7/9/2020,0.810531858,Nitrate
7/12/2020,0.95872033,Nitrate
7/17/2020,0.59752322,Nitrate
7/22/2020,0.865841073,Nitrate
7/29/2020,0.823529412,Nitrate
8/4/2020,0.78121775,Nitrate
8/15/2020,0.927760578,Nitrate
8/29/2020,0.931888545,Nitrate
9/2/2020,0.824561404,Nitrate
9/8/2020,0.647058824,Nitrate
9/19/2020,0.90505676,Nitrate
9/30/2020,0.929824561,Nitrate
6/22/2020,0.869385764,Sodium
6/27/2020,0.800206612,Sodium
7/2/2020,0.81982458,Sodium
7/9/2020,0.743801653,Sodium
7/12/2020,0.811564383,Sodium
7/17/2020,0.755808051,Sodium
7/22/2020,0.424367635,Sodium
7/29/2020,0.859060517,Sodium
8/4/2020,0.555498267,Sodium
8/15/2020,0.807434284,Sodium
8/29/2020,0.810531858,Sodium
9/2/2020,0.813629432,Sodium
9/8/2020,0.747547854,Sodium
9/19/2020,0.83531245,Sodium
9/30/2020,0.889003732,Sodium
6/22/2020,0.87971101,Potassium
6/27/2020,0.934434817,Potassium
7/2/2020,0.97263823,Potassium
7/9/2020,0.503099174,Potassium
7/12/2020,0.961280459,Potassium
7/17/2020,0.893133831,Potassium
7/22/2020,0.921011997,Potassium
7/29/2020,0.848735271,Potassium
8/4/2020,0.876613436,Potassium
8/15/2020,0.873515862,Potassium
8/29/2020,0.899845241,Potassium
9/2/2020,0.92617462,Potassium
9/8/2020,0.883841109,Potassium
9/19/2020,0.960247934,Potassium
9/30/2020,0.91068675,Potassium
6/22/2020,0.927760578,Calcium
6/27/2020,0.946336429,Calcium
7/2/2020,0.925696594,Calcium
7/9/2020,0.829117302,Calcium
7/12/2020,0.973168215,Calcium
7/17/2020,0.834881321,Calcium
7/22/2020,0.713106295,Calcium
7/29/2020,0.913312693,Calcium
8/4/2020,0.872033024,Calcium
8/15/2020,0.975232198,Calcium
8/29/2020,0.708978328,Calcium
9/2/2020,0.973168215,Calcium
9/8/2020,0.884416925,Calcium
9/19/2020,0.90505676,Calcium
9/30/2020,0.975232198,Calcium
6/22/2020,0.917914423,Sulfate
6/27/2020,0.960247934,Sulfate
7/2/2020,0.97263823,Sulfate
7/9/2020,0.968508131,Sulfate
7/12/2020,0.964378032,Sulfate
7/17/2020,0.964378032,Sulfate
7/22/2020,0.838410024,Sulfate
7/29/2020,0.712442015,Sulfate
8/4/2020,0.945792589,Sulfate
8/15/2020,0.966443082,Sulfate
8/29/2020,0.778523594,Sulfate
9/2/2020,0.918946947,Sulfate
9/8/2020,0.890036257,Sulfate
9/19/2020,0.965410557,Sulfate
9/30/2020,0.955085311,Sulfate
