Date,discharge,samp
6/22/2020,23.4,23.4
6/23/2020,18.7,
6/24/2020,7.92,
6/25/2020,13.5,
6/26/2020,5.67,
6/27/2020,51.8,51.8
6/28/2020,26.9,
6/29/2020,6.9,
6/30/2020,181,
7/1/2020,58.9,
7/2/2020,78.7,78.7
7/3/2020,44.7,
7/4/2020,14,
7/5/2020,11,
7/6/2020,37.3,
7/7/2020,39.7,
7/8/2020,26.9,
7/9/2020,12.6,12.6
7/10/2020,13.2,
7/11/2020,10.5,
7/12/2020,10.1,10.1
7/13/2020,9.95,
7/14/2020,9.75,
7/15/2020,55.9,
7/16/2020,41.3,
7/17/2020,27.1,27.1
7/18/2020,9.77,
7/19/2020,9.37,
7/20/2020,9.15,
7/21/2020,9.16,
7/22/2020,8.85,8.85
7/23/2020,8.94,
7/24/2020,8.58,
7/25/2020,9.65,
7/26/2020,8.93,
7/27/2020,9.07,
7/28/2020,9.93,
7/29/2020,17.5,17.5
7/30/2020,134,
7/31/2020,32,
8/1/2020,12.5,
8/2/2020,11.9,
8/3/2020,60.3,
8/4/2020,26.1,26.1
8/5/2020,93.3,
8/6/2020,44.1,
8/7/2020,18.3,
8/8/2020,12,
8/9/2020,8.46,
8/10/2020,90.5,
8/11/2020,39.4,
8/12/2020,9.29,
8/13/2020,8.45,
8/14/2020,89,
8/15/2020,48.7,48.7
8/16/2020,20.9,
8/17/2020,8.35,
8/18/2020,7.05,
8/19/2020,35.1,
8/20/2020,36.9,
8/21/2020,49.9,
8/22/2020,23.6,
8/23/2020,36.8,
8/24/2020,40.5,
8/25/2020,56.6,
8/26/2020,33.4,
8/27/2020,9.59,
8/28/2020,7.37,
8/29/2020,7.04,7.04
8/30/2020,18.9,
8/31/2020,24.1,
9/1/2020,9.16,
9/2/2020,6.75,6.75
9/3/2020,6.51,
9/4/2020,6.4,
9/5/2020,5.99,
9/6/2020,5.81,
9/7/2020,5.81,
9/8/2020,5.75,5.75
9/9/2020,5.72,
9/10/2020,5.97,
9/11/2020,5.67,
9/12/2020,12,
9/13/2020,5.99,
9/14/2020,5.53,
9/15/2020,5.49,
9/16/2020,19.1,
9/17/2020,511,
9/18/2020,46.8,
9/19/2020,13.4,13.4
9/20/2020,9.8,
9/21/2020,8.5,
9/22/2020,8,
9/23/2020,7.71,
9/24/2020,33.8,
9/25/2020,34.6,
9/26/2020,12.1,
9/27/2020,19.3,
9/28/2020,23.2,
9/29/2020,14.8,
9/30/2020,7.05,7.05
